commune,land_price_m2,house_price_m2,construction_cost_m2,avg_house_size_m2,rent_m2,resale_growth_rate,rent_growth_rate,buy_rental_roi,buy_resale_roi,build_rental_roi,build_resale_roi,zonalyss_score_apartment
Commune_31,1114,4524,2196,67,18.09,0.054,0.042,0.066,0.069,0.062,0.108,59.3
Commune_32,899,5120,1771,108,22.22,0.046,0.033,0.069,0.062,0.034,0.061,39.15
Commune_33,281,5343,3271,116,29.26,0.05,0.045,0.063,0.049,0.1,0.094,41.26
Commune_34,713,8136,2762,120,27.08,0.027,0.018,0.077,0.05,0.034,0.084,69.56
Commune_35,1014,8760,3924,79,21.15,0.051,0.014,0.021,0.07,0.079,0.067,0.32
Commune_36,908,4240,1765,84,16.84,0.014,0.021,0.032,0.09,0.099,0.054,61.96
Commune_37,945,3060,2420,135,34.93,0.055,0.012,0.02,0.07,0.047,0.048,35.55
Commune_38,1222,4639,1839,101,20.65,0.037,0.031,0.059,0.063,0.04,0.083,79.42
Commune_39,906,9185,1888,132,21.28,0.051,0.047,0.074,0.074,0.038,0.094,9.3
Commune_40,670,10970,3550,97,14.09,0.033,0.012,0.035,0.058,0.051,0.085,58.82
Commune_41,1342,4252,2665,106,29.87,0.042,0.015,0.076,0.034,0.037,0.077,48.1
Commune_42,595,7203,1875,95,27.34,0.036,0.028,0.024,0.064,0.078,0.043,64.23
Commune_43,460,11363,3533,79,15.52,0.047,0.047,0.076,0.087,0.034,0.108,6.49
Commune_44,1004,6549,3871,137,12.06,0.014,0.023,0.041,0.041,0.066,0.096,58.0
Commune_45,1133,7197,1645,79,27.01,0.013,0.03,0.026,0.071,0.1,0.06,56.15
Commune_46,1479,10009,3481,130,26.36,0.022,0.012,0.049,0.042,0.087,0.109,56.07
Commune_47,1104,9667,1792,116,16.83,0.018,0.016,0.035,0.062,0.073,0.082,60.35
Commune_48,1449,5322,1931,148,33.77,0.054,0.049,0.037,0.036,0.051,0.081,67.65
Commune_49,1276,7090,2204,72,13.78,0.021,0.049,0.038,0.057,0.074,0.092,80.5
Commune_50,1139,9960,3498,45,20.81,0.059,0.01,0.068,0.075,0.067,0.097,26.98
Commune_51,1053,6004,1898,127,33.59,0.027,0.048,0.052,0.051,0.06,0.086,82.5
Commune_52,792,8136,2463,58,20.49,0.019,0.036,0.039,0.07,0.039,0.049,49.83
Commune_53,913,3329,3734,119,25.96,0.049,0.045,0.057,0.078,0.092,0.064,7.71
Commune_54,1381,6640,3541,79,19.94,0.043,0.028,0.063,0.086,0.061,0.105,5.86
Commune_55,831,10982,3328,131,16.86,0.035,0.031,0.036,0.044,0.044,0.056,33.42
Commune_56,258,7107,3608,136,34.6,0.038,0.03,0.045,0.054,0.056,0.066,78.49
Commune_57,327,4341,2438,98,20.23,0.046,0.037,0.027,0.039,0.059,0.07,70.77
Commune_58,935,11407,2209,98,32.35,0.021,0.016,0.031,0.09,0.088,0.071,78.86
Commune_59,920,3338,2306,87,15.75,0.06,0.011,0.061,0.086,0.081,0.083,51.73
Commune_60,1338,8895,2963,80,15.33,0.059,0.022,0.031,0.062,0.084,0.106,44.02
Commune_61,1432,5708,2825,52,10.78,0.043,0.038,0.052,0.081,0.031,0.057,14.75
Commune_62,725,4750,1510,146,26.29,0.02,0.018,0.063,0.061,0.059,0.049,32.82
Commune_63,720,8604,2585,84,19.21,0.044,0.037,0.026,0.067,0.064,0.054,43.4
Commune_64,751,5421,3368,128,31.61,0.014,0.049,0.054,0.035,0.031,0.102,8.86
Commune_65,436,10119,3773,92,21.83,0.012,0.014,0.035,0.075,0.048,0.085,22.06
Commune_66,1424,11901,2271,81,34.2,0.023,0.037,0.078,0.038,0.083,0.06,59.82
Commune_67,1458,8319,3094,139,14.64,0.033,0.028,0.049,0.08,0.04,0.097,73.57
Commune_68,693,9609,3107,102,31.72,0.053,0.045,0.068,0.077,0.067,0.1,99.83
Commune_69,203,8387,2833,66,29.41,0.046,0.017,0.053,0.073,0.045,0.099,93.31
Commune_70,865,6993,2384,77,29.27,0.047,0.038,0.023,0.032,0.031,0.104,64.26
Commune_71,641,11680,2889,99,31.12,0.031,0.044,0.058,0.048,0.047,0.058,42.12
Commune_72,228,11044,1725,46,29.03,0.027,0.048,0.077,0.046,0.098,0.093,63.62
Commune_73,1332,11238,2324,44,25.66,0.029,0.037,0.056,0.052,0.086,0.072,78.57
Commune_74,809,7873,3765,146,13.28,0.059,0.03,0.069,0.035,0.097,0.099,11.83
Commune_75,1004,7806,2436,84,10.81,0.012,0.035,0.073,0.086,0.064,0.091,40.99
Commune_76,274,11592,3806,97,33.02,0.053,0.045,0.034,0.063,0.038,0.094,83.98
Commune_77,1037,8913,3411,70,25.42,0.039,0.033,0.033,0.048,0.068,0.086,38.38
Commune_78,1369,10124,3296,62,29.91,0.032,0.011,0.057,0.054,0.062,0.052,57.19
Commune_79,327,6157,1553,81,22.04,0.046,0.047,0.045,0.057,0.089,0.078,58.78
Commune_80,241,3390,2226,49,12.93,0.034,0.038,0.07,0.066,0.037,0.109,18.45
Commune_81,240,7430,3044,71,13.13,0.054,0.037,0.074,0.061,0.064,0.106,36.22
Commune_82,1133,11820,2543,146,27.14,0.055,0.019,0.041,0.085,0.041,0.043,33.45
Commune_83,233,10686,3413,92,20.76,0.031,0.036,0.034,0.06,0.053,0.052,2.62
Commune_84,1240,7232,3276,69,15.01,0.024,0.026,0.067,0.09,0.082,0.049,2.42
Commune_85,1376,11007,3096,78,22.29,0.04,0.036,0.036,0.081,0.063,0.091,83.17
Commune_86,1197,4521,3414,70,11.61,0.056,0.014,0.069,0.043,0.056,0.097,27.31
Commune_87,787,4500,3966,121,24.55,0.021,0.036,0.045,0.086,0.058,0.055,51.81
Commune_88,541,9737,2349,139,16.72,0.041,0.05,0.06,0.037,0.062,0.075,29.87
Commune_89,226,6294,3609,41,29.94,0.042,0.012,0.026,0.079,0.085,0.099,94.07
Commune_90,845,8085,3763,117,17.76,0.047,0.049,0.057,0.053,0.092,0.091,25.93
Commune_91,930,5419,1502,116,21.38,0.017,0.026,0.047,0.083,0.097,0.078,42.97
Commune_92,367,6042,1659,132,10.29,0.046,0.045,0.055,0.082,0.085,0.081,87.27
Commune_93,809,7497,2280,51,11.81,0.055,0.041,0.03,0.078,0.052,0.076,84.19
Commune_94,467,4466,2392,78,19.81,0.019,0.033,0.064,0.077,0.078,0.061,18.61
Commune_95,1020,6561,3530,105,22.0,0.022,0.04,0.072,0.048,0.061,0.08,80.26
Commune_96,654,3614,3876,135,25.0,0.059,0.045,0.033,0.035,0.048,0.088,45.82
Commune_97,1105,8392,2079,52,17.29,0.019,0.026,0.026,0.054,0.089,0.101,48.3
Commune_98,1121,10693,3433,85,27.37,0.053,0.023,0.021,0.04,0.033,0.085,13.35
Commune_99,1180,6223,2880,66,31.5,0.035,0.037,0.059,0.072,0.093,0.093,8.06
Commune_100,901,10138,2790,144,29.5,0.022,0.042,0.056,0.051,0.062,0.051,72.79
Commune_101,833,5667,3140,56,10.99,0.054,0.04,0.053,0.089,0.075,0.072,49.65
Commune_102,329,10980,2451,143,22.01,0.032,0.042,0.034,0.068,0.076,0.041,43.69
